[0.023s] Invoking command in '/home/aiseon/tita/sim2sim2real/ddt_ros2_ws/build/tita_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/build/tita_description -- -j192 -l192
[0.094s] Invoked command in '/home/aiseon/tita/sim2sim2real/ddt_ros2_ws/build/tita_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/build/tita_description -- -j192 -l192
[0.113s] Invoking command in '/home/aiseon/tita/sim2sim2real/ddt_ros2_ws/build/tita_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/build/tita_description
[0.125s] -- Install configuration: ""
[0.125s] -- Execute custom install script
[0.125s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/meshes/base_link.STL
[0.126s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/meshes/left_leg_1.STL
[0.126s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/meshes/left_leg_2.STL
[0.126s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/meshes/left_leg_3.STL
[0.126s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/meshes/left_leg_4.STL
[0.126s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/meshes/right_leg_1.STL
[0.126s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/meshes/right_leg_2.STL
[0.126s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/meshes/right_leg_3.STL
[0.126s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/meshes/right_leg_4.STL
[0.127s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/mujoco/robot.xml
[0.127s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/mujoco/scene.xml
[0.127s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/urdf/robot.urdf
[0.127s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/xacro/materials.xacro
[0.127s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/xacro/robot.xacro
[0.127s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/xacro/ros2control.xacro
[0.127s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/ament_index/resource_index/package_run_dependencies/tita_description
[0.127s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/ament_index/resource_index/parent_prefix_path/tita_description
[0.127s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/environment/ament_prefix_path.sh
[0.128s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/environment/ament_prefix_path.dsv
[0.128s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/environment/path.sh
[0.128s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/environment/path.dsv
[0.128s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/local_setup.bash
[0.128s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/local_setup.sh
[0.128s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/local_setup.zsh
[0.128s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/local_setup.dsv
[0.128s] -- Symlinking: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/package.dsv
[0.144s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/ament_index/resource_index/packages/tita_description
[0.144s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/cmake/tita_descriptionConfig.cmake
[0.144s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/cmake/tita_descriptionConfig-version.cmake
[0.145s] -- Up-to-date symlink: /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/install/tita_description/share/tita_description/package.xml
[0.148s] Invoked command in '/home/aiseon/tita/sim2sim2real/ddt_ros2_ws/build/tita_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/aiseon/tita/sim2sim2real/ddt_ros2_ws/build/tita_description
